,name,statff_cnt,cost_per_area,nums_of_franchisees,new_nums_of_franchisee,avr_sales,avr_sales_per_area,start_cost,category,year,debt_ratio,profit,fairness,growth,stability
0,이디야커피,424,209.0,2875,305,18704.0,657.0,12913.0,커피,21,88,4,3,3,3
1,비비큐,233,203.0,1746,270,59456.0,4388.0,9078.0,치킨,28,58,3,3,4,3
2,비에이치씨(BHC),167,225.0,1619,231,52103.0,2851.0,8543.0,치킨,19,205,5,3,4,4
3,배스킨라빈스,1816,390.0,1466,85,57170.0,3060.0,32335.0,아이스크림/빙수,37,24,4,3,3,2
4,투다리,16,298.0,1434,145,11251.0,790.0,4533.0,주점,35,126,5,3,4,3
5,투썸플레이스,2303,209.0,1218,147,50890.0,911.0,29920.0,커피,5,609,4,3,4,5
6,교촌치킨,272,263.0,1269,113,74500.0,3605.0,11028.0,치킨,24,42,4,3,4,2
7,처갓집양념치킨,43,132.0,1225,220,22226.0,1564.0,2685.0,치킨,21,40,4,3,4,2
8,페리카나,23,179.0,1115,42,11959.0,1035.0,3395.0,치킨,32,51,4,3,3,2
9,굽네치킨,130,206.0,1065,47,38883.0,2449.0,8529.0,치킨,16,152,4,3,4,4
10,본죽,152,209.0,1008,3,17608.0,1500.0,7006.0,한식,19,25,3,3,3,2
11,멕시카나,65,130.0,878,98,21775.0,1556.0,3185.0,치킨,23,65,4,3,4,3
12,호식이두마리치킨,60,76.0,829,91,25227.0,1913.0,2930.0,치킨,17,103,5,3,3,3
13,이삭토스트,53,284.0,812,21,16268.0,1631.0,5228.0,분식,19,66,4,3,4,3
14,한솥,40,256.0,734,32,38204.0,2932.0,9801.0,한식,34,32,4,3,3,2
15,빽다방,281,176.0,721,117,29856.0,2231.0,10280.0,커피,29,78,4,3,4,3
16,던킨/던킨도너츠,1816,300.0,579,84,26884.0,1526.0,25065.0,제과제빵,37,24,4,3,3,2
17,신전떡볶이,11,25.0,696,39,26843.0,1955.0,7010.0,분식,12,161,5,3,4,4
18,역전할머니맥주1982,40,190.0,672,287,49751.0,1604.0,7386.0,주점,7,33,5,3,5,2
19,명랑시대쌀핫도그,62,300.0,642,46,16347.0,1635.0,3971.0,제과제빵,7,91,3,3,3,3
20,또래오래,72,130.0,640,76,13185.0,900.0,3322.0,치킨,17,86,3,3,4,3
21,피자마루,30,158.0,628,35,15525.0,1496.0,6268.0,피자,16,33,4,3,4,2
22,지코바양념치킨,44,200.0,624,111,25898.0,2078.0,5700.0,치킨,7,25,5,3,4,2
23,요거프레소,52,198.0,601,42,8893.0,520.0,6215.0,커피,16,117,3,3,3,3
24,커피베이,75,209.0,590,92,8527.0,410.0,6594.0,커피,14,159,3,3,2,4
25,피자스쿨,15,200.0,586,20,15320.0,1557.0,6724.0,피자,17,4,4,3,4,2
26,할리스/할리스커피,742,190.0,484,62,30010.0,547.0,24600.0,커피,18,120,2,3,3,3
27,가마치통닭,45,143.0,532,189,21566.0,1466.0,4890.0,기타 외식,7,122,5,3,5,3
28,봉구스밥버거,14,165.0,547,39,8458.0,790.0,4020.0,기타 외식,10,69,5,3,2,3
29,60계,68,203.0,546,109,51986.0,4251.0,9080.0,치킨,8,65,5,3,4,3
30,명륜진사갈비,96,148.0,545,96,61179.0,1175.0,17094.0,한식,11,52,4,3,2,2
31,노랑통닭,31,150.0,517,100,41617.0,1772.0,5330.0,치킨,9,48,4,3,4,2
32,자담치킨,57,132.0,515,296,25537.0,1497.0,4290.0,치킨,8,619,4,3,5,5
33,엔제리너스,5958,206.0,428,16,26913.0,3119.0,31768.0,커피,44,276,2,3,2,4
34,불닭발땡초동대문엽기떡볶이,52,198.0,499,14,56614.0,2824.0,9040.0,기타 외식,14,111,2,3,3,3
35,더벤티,87,176.0,504,137,18697.0,1498.0,6215.0,커피,8,134,4,3,3,3
36,본죽&비빔밥,152,209.0,510,118,27632.0,1509.0,9253.0,한식,19,25,3,3,3,2
37,또봉이통닭,26,143.0,509,68,13077.0,807.0,2806.0,치킨,8,17,4,3,3,2
38,59피자(오구피자),17,220.0,504,18,13089.0,1152.0,5390.0,피자,14,75,4,3,4,3
39,두찜,52,83.0,501,255,26221.0,1565.0,4700.0,한식,6,180,5,3,5,4
40,도미노피자,1262,360.0,356,4,83815.0,2881.0,24825.0,피자,34,71,4,3,4,3
41,김가네김밥,70,1.0,449,59,32995.0,2519.0,7410.0,기타 외식,17,134,3,3,3,3
42,쥬씨(JUICY),53,220.0,446,34,12554.0,1184.0,7138.0,음료 (커피 외),8,120,2,3,2,3
43,가장맛있는족발,19,242.0,419,27,59455.0,1681.0,12960.0,한식,9,10,4,3,3,2
44,땅스부대찌개,17,62.0,386,215,17950.0,1751.0,3060.0,한식,5,204,5,3,5,4
45,본도시락,152,231.0,384,46,36933.0,2776.0,6428.0,한식,19,396,3,3,3,5
46,죽이야기,29,165.0,379,25,9893.0,762.0,7295.0,기타 외식,19,204,3,3,4,4
47,피자헛,690,404.0,325,22,65568.0,616.0,21268.0,피자,32,88,4,3,5,3
48,크라운호프보리장인,39,165.0,349,142,31526.0,1109.0,6470.0,주점,10,139,4,3,3,3
49,티바두마리치킨,22,135.0,336,84,14190.0,1049.0,3451.0,치킨,9,405,3,3,4,5
50,압구정봉구비어,3,242.0,338,11,9944.0,674.0,6810.0,주점,10,54,3,3,2,3
59,맥시칸치킨,8,150.0,335,22,9933.0,777.0,2930.0,치킨,34,11,4,3,3,2
60,나우커피,10,165.0,315,315,3147.0,348.0,4636.0,커피,3,28,5,3,0,2
61,펀비어킹,17,251.0,320,57,28825.0,835.0,12746.0,주점,15,34,4,3,3,2
62,썬더치킨,4,120.0,308,17,11974.0,563.0,4620.0,기타 외식,15,25,2,3,2,2
63,부어치킨,28,133.0,307,52,11696.0,939.0,3730.0,치킨,9,515,2,3,3,5
64,팔공티,37,220.0,304,107,9959.0,843.0,7295.0,음료 (커피 외),5,251,4,3,4,4
65,원할머니,211,154.0,299,62,56106.0,1909.0,11512.0,한식,25,57,3,3,4,3
66,이차돌,125,176.0,294,75,70263.0,2308.0,14677.0,기타 외식,6,157,3,3,4,4
67,스무디킹(SMOOTHIEKING),53,700.0,279,191,5689.0,888.0,14465.0,음료 (커피 외),8,221,1,3,2,4
68,봄봄테이크아웃(봄봄TAKE-OUT),24,250.0,287,69,17050.0,1501.0,7650.0,커피,4,179,5,3,4,4
69,카페베네,103,220.0,279,13,15570.0,317.0,17550.0,커피,15,-233,2,3,3,1
70,놀부부대찌개,233,165.0,281,25,16164.0,593.0,10334.0,한식,33,647,1,3,2,5
71,땅땅치킨,56,57.0,287,58,16102.0,867.0,3890.0,치킨,16,251,2,3,2,4
72,홍루이젠,34,275.0,276,70,13417.0,1534.0,8035.0,제과제빵,6,127,2,3,1,3
73,응급실국물떡볶이,16,187.0,281,67,27223.0,1759.0,6497.0,분식,7,36,5,3,4,2
74,청년피자,4,132.0,271,120,39097.0,3012.0,5077.0,피자,3,333,2,3,0,4
75,반올림피자샵,41,55.0,265,35,52057.0,3534.0,3630.0,피자,7,47,5,3,4,2
76,하삼동커피,5,297.0,253,164,24349.0,1697.0,8220.0,커피,3,66,5,3,0,3
77,신참떡볶이,16,165.0,252,58,12816.0,992.0,4455.0,분식,8,54,5,3,4,3
78,삼겹본능,233,181.0,240,97,6449.0,2149.0,3355.0,한식,33,647,1,3,2,5
79,셀렉토커피,34,187.0,244,42,10161.0,558.0,7500.0,커피,18,167,3,3,3,4
80,미스터피자,201,165.0,216,9,32222.0,2483.0,16651.0,피자,28,69,2,3,2,3
81,홍콩반점0410,281,170.0,236,28,70721.0,1933.0,11930.0,중식,29,78,4,3,4,3
82,신통치킨,32,73.0,234,9,5274.0,299.0,3970.0,치킨,10,183,4,3,2,4
83,피자에땅,37,165.0,230,6,15261.0,835.0,10878.0,피자,22,15,4,3,3,2
84,두끼,43,198.0,229,20,29975.0,597.0,17768.0,분식,8,60,5,3,3,3
85,배떡,6,180.0,226,224,22064.0,1574.0,5875.0,분식,6,93,5,3,5,3
86,드롭탑(DROPTOP),58,165.0,215,17,17733.0,392.0,11316.0,커피,13,-235,4,3,2,1
87,와플대학,35,352.0,210,146,17093.0,1377.0,6690.0,기타 외식,10,177,5,3,5,4
88,후라이드참잘하는집,14,143.0,212,35,19008.0,1711.0,3560.0,치킨,3,13,4,3,5,2
89,미소야,25,227.0,205,20,31413.0,1620.0,8714.0,일식,35,702,4,3,3,5
91,토프레소,26,247.0,209,14,8249.0,510.0,6751.0,커피,11,537,2,3,3,5
95,얌샘김밥,36,198.0,204,53,27441.0,1783.0,6305.0,분식,17,333,2,3,4,4
96,바른치킨,41,143.0,203,57,29332.0,1649.0,4940.0,치킨,8,115,4,3,4,3
97,돈치킨,17,165.0,204,35,14538.0,697.0,6380.0,치킨,14,256,3,3,0,4
98,누구나홀딱반한닭,31,143.0,202,40,33757.0,1151.0,7136.0,치킨,12,114,4,3,4,3
99,족발야시장,35,165.0,201,64,69383.0,2358.0,9980.0,기타 외식,11,255,4,3,5,4
100,감성커피,4,143.0,199,60,11364.0,832.0,4240.0,커피,10,98,2,3,4,3
101,깐부치킨,25,275.0,195,12,32531.0,1230.0,10800.0,치킨,15,184,3,3,2,4
102,생활맥주,48,275.0,169,25,20294.0,1013.0,6910.0,주점,7,19,4,3,3,2
103,용우동,28,264.0,189,22,18114.0,1066.0,10180.0,분식,24,147,2,3,3,4
104,조마루감자탕,25,165.0,187,7,24916.0,451.0,15447.0,한식,18,32,4,3,3,2
105,치킨매니아,16,187.0,185,38,18524.0,988.0,9549.0,치킨,16,83,3,3,3,3
106,치킨더홈,24,130.0,185,60,23383.0,1482.0,3216.0,치킨,16,113,4,3,4,3
107,커피마마,26,150.0,182,15,7184.0,424.0,5640.0,커피,13,416,2,3,3,5
108,투존치킨,27,165.0,176,37,13235.0,795.0,5829.0,치킨,8,406,3,3,2,5
112,북촌손만두,35,198.0,176,28,22301.0,1455.0,8541.0,기타 외식,11,116,3,3,2,3
113,공수간,233,165.0,168,51,3828.0,1114.0,7011.0,분식,33,647,1,3,2,5
114,더카페,5254,165.0,172,16,11988.0,829.0,6090.0,커피,4,217,1,3,3,4
115,바우네나주곰탕,7,132.0,173,45,17859.0,802.0,7263.0,한식,5,10,5,3,2,2
116,놀부보쌈족발,233,165.0,167,42,16551.0,688.0,11629.0,한식,33,647,1,3,2,5
117,채선당,87,198.0,171,10,39577.0,531.0,37928.0,한식,18,56,2,3,2,3
118,신의주찹쌀순대,54,165.0,171,30,37969.0,1322.0,9657.0,한식,15,267,3,3,3,4
119,호치킨,42,1900.0,169,19,31644.0,1642.0,6070.0,치킨,9,20,2,3,3,2
120,아마스빈,11,220.0,166,41,19686.0,1476.0,6660.0,커피,9,481,2,3,2,5
121,탕화쿵푸마라탕,4,160.0,165,47,26360.0,1318.0,9000.0,중식,4,25,5,3,5,2
122,보드람치킨,8,286.0,165,16,21696.0,1296.0,7590.0,치킨,22,32,5,3,4,2
123,차얌,13,220.0,164,72,5872.0,569.0,7138.0,음료 (커피 외),7,646,2,3,4,5
124,하남돼지집,92,170.0,155,6,56929.0,1409.0,13375.0,한식,11,141,2,3,2,4
125,싸움의고수,12,220.0,161,78,25256.0,1746.0,7900.0,기타 외식,8,134,3,3,4,3
126,알통떡강정,15,220.0,159,30,10283.0,969.0,3860.0,치킨,10,144,4,3,3,4
127,걸작떡볶이치킨,46,148.0,154,37,27605.0,2174.0,5788.0,분식,8,318,4,3,4,4
128,연안식당,179,238.0,149,2,49191.0,1326.0,12737.0,한식,8,1472,1,3,2,5
129,꼬지사께,33,165.0,152,12,10932.0,630.0,5589.0,주점,16,134,3,3,2,3
130,혼밥대왕,18,165.0,151,158,35211.0,3635.0,7735.0,한식,5,195,5,3,5,4
131,불스떡볶이,1,165.0,150,30,20260.0,1529.0,3410.0,분식,7,44,5,3,4,2
132,바르다김선생,22,231.0,147,24,34219.0,2075.0,14804.0,분식,9,90,2,3,3,3
133,샤브향,4,181.0,148,2,44957.0,508.0,25360.0,기타 외식,6,448,3,3,1,5
134,본스치킨,27,165.0,148,1,8130.0,461.0,9070.0,치킨,8,59,3,3,3,3
135,현대옥,39,132.0,146,10,34657.0,855.0,11700.0,한식,14,352,5,3,3,5
136,오븐마루,18,143.0,147,18,19207.0,863.0,5170.0,치킨,8,198,4,3,4,4
137,백채,7,231.0,145,14,21050.0,1520.0,4686.0,한식,9,286,3,3,4,4
141,맛닭꼬,13,165.0,145,14,25812.0,1307.0,6585.0,치킨,10,15,4,3,3,2
142,준코노래타운,44,192.0,34,0,40287.0,428.0,24750.0,주점,17,-403,1,3,2,1
143,충만치킨,10,176.0,142,16,19444.0,655.0,8717.0,치킨,9,14,2,3,1,2
144,도야족발보쌈,1,220.0,145,17,36145.0,1376.0,8030.0,한식,11,3,5,3,2,2
145,킹콩부대찌개,29,143.0,141,20,27540.0,886.0,10230.0,한식,13,241,3,3,4,4
146,못난이꽈배기,16,206.0,141,23,11617.0,1105.0,4049.0,제과제빵,8,40,4,3,3,2
147,뉴욕핫도그앤커피,7,242.0,141,38,2039.0,301.0,6878.0,패스트푸드,7,-110,1,3,2,1
148,주식회사포차천국,26,143.0,141,51,24102.0,833.0,8626.0,주점,10,18,5,3,3,2
149,한신포차,281,148.0,140,18,82677.0,1334.0,15626.0,한식,29,78,4,3,4,3
150,디디치킨(DD치킨),19,240.0,140,4,13052.0,1060.0,3855.0,치킨,9,134,2,3,2,3
151,설동궁찜닭,14,143.0,138,50,26255.0,962.0,5700.0,한식,5,143,5,3,5,4
152,이비가짬뽕,42,165.0,133,11,54921.0,1065.0,11755.0,중식,12,75,3,3,4,3
153,목우촌참피자,50,150.0,139,16,2762.0,139.0,4193.0,피자,17,88,2,3,3,3
154,짝태&노가리,6,110.0,138,23,12164.0,662.0,3370.0,주점,8,11,3,3,2,2
156,흥부찜닭,233,165.0,132,56,5011.0,1203.0,8475.0,한식,33,647,1,3,2,5
157,역전우동0410,281,201.0,135,26,35327.0,2253.0,8819.0,분식,29,78,4,3,4,3
158,카페051(cafe051),3,198.0,132,73,19073.0,1760.0,5910.0,커피,2,-489,5,3,4,1
159,수내닭꼬치,33,143.0,133,23,8501.0,525.0,5094.0,기타 외식,7,207,3,3,2,4
160,만랩커피,26,220.0,129,35,15392.0,824.0,8790.0,커피,8,279,4,3,4,4
161,대구반야월막창,6,105.0,130,10,16772.0,658.0,5610.0,기타 외식,12,24,4,3,3,2
165,청담동말자싸롱,19,286.0,129,8,10447.0,2094.0,5640.0,기타 외식,10,116,2,3,2,3
166,명인만두,42,198.0,127,20,12443.0,762.0,12745.0,분식,18,420,2,3,2,5
167,홍춘천,19,198.0,128,14,12346.0,617.0,11760.0,한식,17,162,1,3,2,4
168,코리안바베큐,8,187.0,127,4,11774.0,541.0,7100.0,치킨,21,1373,3,3,2,5
169,텐퍼센트스페셜티커피,13,209.0,126,94,18118.0,1628.0,7185.0,커피,10,136,4,3,5,3
170,더치앤빈,19,190.0,126,17,12934.0,263.0,6288.0,커피,8,243,4,3,0,4
171,박가부대,301,165.0,124,5,21817.0,785.0,10799.0,한식,25,57,3,3,4,3
172,와플칸,3,165.0,121,121,13809.0,1299.0,4205.0,기타 외식,3,153,3,3,0,4
173,호세야오리바베큐,10,162.0,121,37,4160.0,372.0,7480.0,한식,10,239,4,3,4,4
174,새마을식당,281,275.0,116,16,51785.0,1191.0,8134.0,한식,29,78,4,3,4,3
175,이춘봉인생치킨,14,143.0,118,62,11767.0,575.0,4873.0,치킨,8,53,5,3,5,3
176,청자다방,13,256.0,117,22,12366.0,678.0,7001.0,커피,5,-236,1,3,5,1
177,황금코다리,11,165.0,117,18,48771.0,756.0,14690.0,한식,7,680,1,3,3,5
178,난타5000피자,12,165.0,116,2,11584.0,919.0,6570.0,피자,10,71,4,3,3,3
179,캠토토스트,4,231.0,115,16,1752.0,149.0,4301.0,기타 외식,13,341,2,3,3,4
180,포메인,23,335.0,113,4,37764.0,961.0,18595.0,기타 외식,17,17,4,3,3,2
181,맛깔참죽,13,165.0,115,10,12551.0,1113.0,6315.0,한식,24,284,3,3,2,4
182,신포우리만두,68,165.0,114,7,33821.0,1251.0,12716.0,분식,29,114,3,3,3,3
183,을찌로국물떡볶이,8,165.0,114,124,13234.0,945.0,3717.0,분식,6,33484,3,3,4,5
184,달리는커피,12,132.0,114,71,14117.0,962.0,3256.0,커피,3,-710,2,3,0,1
185,쿡1015,19,165.0,113,16,17357.0,1404.0,6118.0,기타 외식,8,42,4,3,3,2
186,한촌설렁탕,100,176.0,110,20,45843.0,979.0,14910.0,한식,17,563,2,3,3,5
187,곱창고,8,165.0,111,5,23547.0,950.0,5175.0,기타 외식,7,154,5,3,3,4
188,뚱스밥버거,23,165.0,110,8,5087.0,541.0,3762.0,분식,8,-142,1,3,0,1
189,어사출또,42,165.0,110,18,63239.0,1156.0,14893.0,기타 외식,7,234,3,3,3,4
190,쿠우쿠우,19,175.0,110,2,173036.0,911.0,82200.0,일식,11,2,3,3,1,2
191,송사부수제쌀고로케,0,275.0,103,44,31400.0,4869.0,6405.0,제과제빵,5,186,5,3,2,4
192,곤지암할매소머리국밥,13,143.0,109,34,13803.0,441.0,4930.0,한식,25,74,5,3,4,3
193,라화쿵부,33,165.0,103,13,20806.0,859.0,7925.0,중식,8,102,4,3,1,3
194,둘둘치킨,15,165.0,108,3,3905.0,234.0,6580.0,치킨,26,82,3,3,2,3
195,청춘감성쌀핫도그,12,235.0,108,4,3522.0,412.0,3400.0,기타 외식,7,27,2,3,1,2
196,그라찌에,13,220.0,52,2,5092.0,225.0,6770.0,기타 외식,20,127,2,3,1,3
197,웰덤치킨,39,165.0,107,38,10605.0,678.0,3455.0,패스트푸드,16,328,2,3,2,4
198,라무진,9,381.0,107,9,31846.0,1766.0,8370.0,기타 외식,9,12,4,3,3,2
199,오마뎅,22,385.0,105,23,12030.0,1331.0,7925.0,분식,6,73,5,3,4,3
200,커피온리,15,192.0,104,6,13982.0,1824.0,7207.0,커피,7,633,1,3,1,5
201,만두여행,31,165.0,105,114,5448.0,973.0,6217.0,분식,7,459,4,3,5,5
202,아비꼬,83,330.0,88,8,35910.0,1491.0,12290.0,기타 외식,13,701,2,3,2,5
203,커피니(COFFEENIE),19,250.0,87,1,13808.0,418.0,8800.0,커피,14,-131,1,3,2,1
204,선비꼬마김밥,23,187.0,101,39,20966.0,1950.0,5551.0,분식,5,68,5,3,5,3
205,라라코스트(raracost),20,231.0,98,6,65872.0,675.0,19010.0,기타 외식,5,112,4,3,3,3
206,토마토김밥,14,198.0,102,3,40089.0,2911.0,6129.0,분식,11,515,3,3,3,5
207,콩심,19,162.0,102,11,40521.0,1466.0,9155.0,기타 외식,8,209,3,3,1,4
208,다사랑,39,176.0,101,2,34878.0,727.0,14170.0,치킨,17,7,4,3,3,2
209,마리웨일237,188,220.0,87,5,10221.0,965.0,9245.0,제과제빵,15,2212,1,3,2,5
210,육쌈냉면,14,176.0,99,1,38647.0,1352.0,16728.0,한식,10,29,5,3,2,2
211,순수치킨,8,198.0,99,44,19298.0,1289.0,4270.0,기타 외식,8,-147,1,3,3,1
212,진이찬방,31,209.0,99,33,20094.0,1559.0,6290.0,한식,11,211,3,3,4,4
213,혜화동돈까스극장,8,165.0,98,21,7157.0,515.0,4169.0,기타 외식,3,69,5,3,1,3
214,전골의법칙,14,110.0,98,97,6832.0,322.0,850.0,한식,9,121,4,3,4,3
215,계동치킨,5,137.0,98,6,2768.0,158.0,3960.0,치킨,19,355,3,3,3,5
216,배부장찌개,12,165.0,97,14,28585.0,1268.0,6085.0,한식,5,28,4,3,2,2
217,수유리우동집,10,211.0,94,12,20678.0,1206.0,6600.0,분식,8,75,2,3,3,3
218,뉴욕버거,8,209.0,92,22,20087.0,899.0,10205.0,패스트푸드,14,1175,3,3,3,5
219,막창도둑,11,120.0,95,41,27950.0,745.0,6722.0,기타 외식,7,157,5,3,5,4
220,"오늘,와인한잔",27,165.0,91,23,42142.0,1385.0,13727.0,주점,6,92,5,3,3,3
221,배터지는생동까스,9,198.0,94,14,11868.0,960.0,4610.0,일식,14,100,4,3,4,3
225,미스터브리즈커피,18,192.0,92,6,6206.0,393.0,5115.0,기타 외식,12,-179,1,3,1,1
226,조선화로집,193,170.0,82,30,81858.0,741.0,12850.0,한식,23,-640,1,3,1,1
227,오가다,66,198.0,82,13,8308.0,388.0,14210.0,음료 (커피 외),13,270,2,3,2,4
228,두뽂스,27,143.0,92,83,4244.0,228.0,4210.0,한식,8,406,3,3,2,5
229,서가앤쿡,30,165.0,81,4,67763.0,732.0,20460.0,서양식,12,13,2,3,2,2
230,곱분이곱창,13,165.0,90,53,44349.0,2523.0,5874.0,한식,7,17,5,3,5,2
231,토마토도시락,12,181.0,89,8,27659.0,2233.0,6155.0,기타 외식,13,359,3,3,2,5
232,네오피자,9,44.0,90,12,24553.0,1332.0,3257.0,피자,6,339,4,3,3,4
233,맛찬들왕소금구이,28,268.0,89,7,89556.0,1223.0,18250.0,한식,10,40,4,3,3,2
234,장충동왕족발보쌈,143,133.0,89,7,9801.0,530.0,4970.0,한식,22,156,4,3,4,4
238,디에떼에스프레소,9,355.0,89,5,3767.0,134.0,11800.0,커피,12,406,2,3,4,5
239,닥엔돈스,12,132.0,89,37,18661.0,1001.0,3235.0,기타 외식,6,263,5,3,5,4
240,쌀통닭,8,180.0,87,11,16169.0,1042.0,6500.0,치킨,9,547,4,3,3,5
241,박군치킨,9,165.0,88,10,12019.0,865.0,7020.0,치킨,9,186,3,3,3,4
242,올떡,10,165.0,87,13,6900.0,616.0,3689.0,분식,7,3,2,3,1,2
243,불막열삼,23,176.0,88,21,19628.0,802.0,7415.0,한식,6,298,4,3,5,4
244,버무리떡볶이,17,159.0,87,9,16368.0,1626.0,5613.0,분식,12,156,3,3,3,4
245,더착한커피,8,198.0,87,0,12846.0,637.0,8180.0,커피,12,932,3,3,1,5
247,브롱스(BRONX),25,160.0,85,18,17171.0,583.0,9470.0,기타 외식,9,-159,1,3,2,1
248,인생닭강정,2,143.0,86,86,23908.0,2630.0,4159.0,치킨,3,3,2,3,0,2
249,카페게이트,56,268.0,83,20,16590.0,1420.0,6448.0,커피,14,83,3,3,2,3
250,군자대한곱창,27,165.0,85,60,71516.0,2181.0,10890.0,기타 외식,4,98,5,3,5,3
251,THE진국,54,154.0,83,15,35753.0,1268.0,10355.0,한식,12,142,4,3,3,4
252,미쳐버린파닭,16,96.0,84,10,9357.0,477.0,2810.0,치킨,8,113,4,3,3,3
253,땡큐맘치킨,25,143.0,84,4,14458.0,940.0,5881.0,치킨,8,506,3,3,4,5
257,비턴,4,143.0,83,4,11726.0,308.0,9055.0,주점,12,5,2,3,2,2
258,오븐에빠진닭,37,165.0,83,5,19040.0,594.0,10659.0,치킨,22,15,4,3,3,2
259,만복국수집,8,220.0,83,13,24675.0,1080.0,5930.0,주점,14,76,4,3,4,3
260,등뼈가,32,198.0,82,7,12884.0,258.0,8400.0,한식,5,125,5,3,3,3
261,이바돔감자탕,193,165.0,78,4,48402.0,446.0,24480.0,한식,23,-640,1,3,1,1
262,보고싶다,24,187.0,82,14,32233.0,752.0,12931.0,기타 외식,5,108,4,3,1,3
266,79대포,16,143.0,81,23,17781.0,806.0,6932.0,주점,7,5,5,3,4,2
267,비스트로피자,17,220.0,81,44,28871.0,2297.0,6207.0,패스트푸드,4,126,5,3,5,3
268,아마스빈코리아,27,220.0,79,18,19812.0,1801.0,6660.0,음료 (커피 외),8,163,2,3,2,4
269,카페루앤비,5,165.0,81,14,5636.0,356.0,5349.0,커피,9,414,3,3,3,5
270,스쿨푸드,251,165.0,65,13,74896.0,2759.0,17230.0,분식,16,414,2,3,3,5
